7 10 2589
10656 13275.0 18117 20664 5860
hub : 481012, 3185, -1209, 45.65, 202500, 2
major : 809398, -473, 1111, 72.16, 242500, 2
major : 556326, 2923, 1481, 57.75, 159750, 1
regional : 905056, 138, 2075, 97.46, 125600, 1
regional : 134017, 1548, 235, 92.95, 199800, 2
regional : 664408, -29, -736, 87.67, 144000, 1
regional : 590305, 2093, 1384, 109.12, 190800, 1
major : 549568, 3172, -197, 71.94, 136000, 3
regional : 793606, 2608, 490, 88.77, 147800, 1
major : 898202, -565, -55, 52.8, 245250, 2
business : 1163852024, 189, 1, [905056, 898202]
economy : 8293564831, 81, 1, [793606, 556326]
economy : 5534481440, 190, 3, [664408, 898202]
luxury : 8604369242, 155, 2, [905056, 481012]
economy : 7692966071, 140, 1, [556326, 809398]
economy : 2470069234, 123, 5, [590305, 481012]
economy : 3979342507, 57, 1, [481012, 905056]
economy : 3679462307, 57, 3, [590305, 898202]
economy : 9658430101, 184, 0, [481012, 905056]
economy : 9267573766, 51, 7, [809398, 481012]
first : 7232280271, 142, 5, [793606, 549568]
economy : 9839889296, 105, 9, [481012, 664408]
economy : 2447452733, 191, 1, [590305, 134017]
business : 8067901030, 40, 1, [481012, 590305]
economy : 5517966112, 101, 1, [556326, 809398]
economy : 1817508221, 102, 1, [134017, 905056]
first : 3858291400, 135, 8, [905056, 793606]
economy : 3551683934, 192, 8, [905056, 809398]
economy : 6927398350, 184, 3, [590305, 793606]
business : 8946776860, 133, 0, [793606, 664408]
economy : 5099069546, 138, 1, [898202, 481012]
business : 5002669210, 185, 1, [898202, 549568]
business : 8463264107, 182, 2, [898202, 664408]
economy : 5674890736, 153, 1, [134017, 793606]
economy : 5300983301, 152, 1, [809398, 905056]
luxury : 7909433306, 139, 4, [905056, 898202]
economy : 5187836045, 134, 1, [134017, 898202]
economy : 1919774699, 141, 1, [481012, 556326]
first : 2155367436, 98, 1, [905056, 664408]
luxury : 2414304061, 74, 1, [481012, 793606]
economy : 6348599024, 55, 2, [905056, 898202]
economy : 3825583799, 174, 3, [898202, 809398]
first : 5285065383, 141, 0, [905056, 590305]
economy : 1777652251, 144, 0, [481012, 590305]
economy : 7550578289, 72, 2, [793606, 664408]
economy : 4914816797, 49, 6, [905056, 590305]
business : 5677844882, 93, 2, [905056, 664408]
business : 5456823812, 47, 2, [134017, 590305]
economy : 4650290762, 93, 1, [809398, 590305]
business : 6649888331, 107, 2, [898202, 809398]
economy : 7173066032, 47, 3, [898202, 793606]
business : 2640831737, 127, 0, [590305, 664408]
economy : 1976866284, 66, 2, [549568, 905056]
economy : 6018381737, 68, 1, [134017, 556326]
economy : 4330450620, 86, 2, [556326, 481012]
economy : 9294334957, 71, 2, [898202, 664408]
first : 2060575864, 130, 1, [481012, 549568]
first : 3112637379, 188, 0, [134017, 481012]
first : 1592698893, 175, 6, [556326, 905056]
luxury : 4277042736, 170, 8, [590305, 134017]
economy : 4128885855, 80, 1, [793606, 590305]
economy : 2327778221, 144, 6, [809398, 556326]
economy : 2203480467, 198, 1, [549568, 556326]
economy : 6891955304, 93, 1, [905056, 549568]
economy : 6648913211, 47, 1, [134017, 664408]
economy : 2525670559, 72, 0, [549568, 898202]
business : 5993110559, 55, 0, [664408, 898202]
economy : 4760357509, 64, 1, [134017, 549568]
business : 8723083579, 151, 1, [549568, 898202]
economy : 4513751446, 72, 3, [793606, 556326]
economy : 2901988032, 89, 0, [481012, 898202]
economy : 3567318922, 86, 3, [809398, 664408]
economy : 2676883682, 102, 3, [590305, 905056]
economy : 2349431264, 150, 1, [549568, 134017]
economy : 5236195394, 96, 2, [809398, 905056]
economy : 8635538507, 90, 2, [809398, 481012]
economy : 6475385985, 95, 1, [556326, 898202]
economy : 3907028364, 182, 10, [793606, 481012]
business : 1135018858, 159, 0, [809398, 905056]
economy : 6958825270, 150, 9, [664408, 134017]
business : 4300208567, 99, 1, [664408, 556326]
business : 6038286487, 60, 4, [793606, 481012]
business : 6348576226, 66, 2, [549568, 793606]
economy : 2888689220, 163, 0, [809398, 590305]
luxury : 2647491910, 66, 0, [549568, 898202]
economy : 1399554072, 97, 2, [664408, 905056]
economy : 8678813055, 81, 9, [809398, 898202]
economy : 4196558259, 138, 3, [481012, 590305]
first : 4953427741, 157, 2, [556326, 549568]
business : 1555738415, 194, 3, [898202, 590305]
economy : 3367437969, 150, 1, [793606, 590305]
economy : 9537655501, 42, 1, [481012, 590305]
economy : 2200286337, 177, 1, [481012, 549568]
economy : 7984759767, 71, 1, [590305, 134017]
business : 7131214629, 48, 2, [549568, 809398]
luxury : 8792736847, 87, 3, [898202, 905056]
first : 6503919232, 60, 9, [905056, 590305]
first : 1991138076, 153, 8, [549568, 898202]
economy : 7589792780, 97, 4, [481012, 664408]
economy : 8913580905, 159, 2, [481012, 590305]
business : 6431765913, 113, 2, [898202, 905056]
economy : 8291051787, 181, 2, [793606, 898202]
economy : 7432799270, 78, 1, [481012, 134017]
economy : 1249425062, 58, 0, [134017, 809398]
economy : 2935523015, 185, 0, [590305, 134017]
economy : 8347754637, 137, 4, [481012, 549568]
economy : 1257456515, 119, 2, [549568, 481012]
economy : 2665611607, 99, 2, [549568, 898202]
economy : 2915000593, 158, 3, [664408, 898202]
first : 9531951765, 47, 6, [549568, 898202]
economy : 6412853802, 200, 1, [793606, 664408]
economy : 7736421565, 40, 1, [898202, 905056]
economy : 1837559462, 125, 2, [481012, 664408]
economy : 9713278726, 157, 0, [590305, 898202]
economy : 5004863075, 114, 3, [590305, 134017]
economy : 9967326243, 183, 1, [809398, 134017]
business : 7052655828, 137, 1, [898202, 134017]
economy : 9612041023, 155, 2, [134017, 556326]
economy : 1303671210, 43, 0, [809398, 481012]
luxury : 9476241558, 55, 2, [809398, 898202]
economy : 5837260437, 194, 1, [664408, 481012]
economy : 7417622877, 198, 1, [905056, 809398]
economy : 3835024733, 52, 3, [664408, 549568]
business : 1705681032, 73, 4, [590305, 793606]
business : 1990351856, 56, 1, [898202, 905056]
economy : 5963257179, 172, 5, [556326, 793606]
economy : 4358397883, 79, 1, [793606, 134017]
luxury : 3906998297, 94, 2, [793606, 549568]
economy : 9059301552, 53, 2, [481012, 590305]
economy : 4386900752, 65, 0, [898202, 905056]
economy : 7876920656, 102, 1, [793606, 549568]
economy : 8853798629, 127, 2, [590305, 481012]
economy : 1739565647, 106, 1, [556326, 134017]
economy : 2482565870, 157, 2, [809398, 793606]
business : 9538376425, 40, 0, [905056, 590305]
economy : 3470868687, 134, 1, [809398, 905056]
economy : 4733749218, 93, 2, [590305, 664408]
economy : 7760705204, 73, 6, [549568, 134017]
economy : 8086166347, 119, 1, [809398, 664408]
economy : 8463790124, 178, 5, [898202, 549568]
economy : 4978952744, 186, 3, [556326, 134017]
economy : 8717268148, 159, 1, [134017, 481012]
economy : 8521907695, 47, 1, [898202, 905056]
economy : 4345081727, 143, 0, [549568, 481012]
economy : 3300188979, 93, 10, [905056, 809398]
economy : 1336795468, 125, 3, [905056, 556326]
economy : 8761864096, 148, 1, [898202, 481012]
economy : 5087147883, 184, 4, [549568, 664408]
business : 5417923938, 93, 1, [664408, 134017]
economy : 3008430417, 51, 1, [481012, 809398]
economy : 3500045935, 117, 1, [556326, 905056]
economy : 2101765752, 94, 7, [556326, 793606]
economy : 4433264462, 131, 2, [809398, 549568]
economy : 3680525828, 46, 2, [905056, 481012]
first : 9285184610, 135, 5, [905056, 664408]
economy : 9021649143, 63, 1, [549568, 134017]
economy : 5800922075, 125, 2, [898202, 905056]
economy : 8318522761, 88, 1, [556326, 809398]
business : 2698388524, 51, 4, [905056, 549568]
economy : 1449404175, 83, 0, [556326, 134017]
luxury : 4199712193, 165, 10, [793606, 134017]
economy : 2270027180, 165, 2, [898202, 549568]
business : 3832716679, 194, 1, [134017, 809398]
economy : 6933957638, 168, 2, [481012, 134017]
business : 7760505766, 59, 4, [905056, 793606]
economy : 7421190152, 94, 1, [809398, 556326]
luxury : 9113084686, 128, 1, [590305, 481012]
business : 9743859400, 78, 1, [134017, 590305]
economy : 3841923237, 123, 2, [905056, 809398]
business : 3999914690, 135, 1, [809398, 481012]
business : 9834017936, 56, 2, [905056, 898202]
economy : 1505640253, 164, 2, [590305, 481012]
business : 6788198413, 43, 2, [793606, 590305]
economy : 3180540879, 183, 1, [481012, 905056]
economy : 3315182620, 65, 2, [898202, 664408]
first : 9862935768, 151, 3, [481012, 134017]
business : 4990511806, 194, 2, [809398, 664408]
economy : 7051895094, 124, 2, [549568, 793606]
business : 4391620188, 110, 1, [664408, 898202]
business : 5441872799, 104, 2, [809398, 664408]
economy : 9372586420, 101, 9, [590305, 905056]
economy : 7444389644, 102, 1, [898202, 590305]
economy : 8789574192, 83, 2, [793606, 556326]
economy : 1634044687, 75, 1, [793606, 898202]
economy : 4050532944, 193, 0, [664408, 898202]
economy : 4983475661, 124, 2, [905056, 809398]
business : 8068496506, 142, 2, [809398, 905056]
economy : 1895973414, 60, 2, [809398, 590305]
economy : 6257465465, 103, 8, [809398, 549568]
first : 2807965694, 193, 2, [590305, 134017]
business : 5073670238, 142, 0, [134017, 905056]
business : 8453516748, 174, 1, [481012, 549568]
economy : 7719863015, 107, 1, [905056, 664408]
economy : 4570568198, 80, 7, [549568, 809398]
business : 9842633767, 146, 0, [793606, 556326]
economy : 1010404199, 68, 2, [481012, 549568]
economy : 1021961246, 176, 3, [134017, 590305]
first : 3089314725, 94, 1, [134017, 590305]
economy : 1107162779, 143, 1, [898202, 549568]
economy : 7803508525, 127, 2, [898202, 590305]
economy : 4750269957, 130, 1, [898202, 549568]
economy : 1204182735, 165, 5, [549568, 898202]
economy : 9709558099, 151, 0, [549568, 134017]
economy : 4668668443, 194, 2, [905056, 556326]
economy : 4542393846, 117, 2, [809398, 664408]
first : 9228545723, 65, 5, [556326, 590305]
business : 7362960239, 118, 2, [793606, 590305]
economy : 7041705521, 106, 9, [481012, 905056]
economy : 1105977124, 70, 3, [664408, 590305]
business : 4828329159, 141, 3, [549568, 898202]
economy : 1963793139, 98, 0, [793606, 134017]
economy : 1504341198, 165, 2, [905056, 898202]
economy : 6865928213, 171, 0, [898202, 793606]
economy : 2854386110, 101, 3, [134017, 556326]
economy : 3967617794, 133, 1, [134017, 898202]
economy : 1797229022, 65, 1, [664408, 793606]
business : 7645313280, 99, 2, [556326, 809398]
first : 4803951628, 162, 7, [809398, 905056]
economy : 2290692864, 68, 0, [905056, 898202]
economy : 5030753508, 149, 3, [905056, 590305]
business : 2406454461, 170, 0, [664408, 590305]
economy : 5570725283, 155, 1, [556326, 898202]
economy : 3215069290, 168, 10, [898202, 664408]
economy : 6424861401, 180, 2, [134017, 809398]
business : 8067566554, 52, 0, [664408, 549568]
business : 2835021752, 188, 2, [590305, 898202]
economy : 5052561455, 114, 2, [664408, 134017]
business : 9478328913, 190, 3, [905056, 590305]
economy : 6192055301, 100, 0, [905056, 793606]
economy : 2599451964, 135, 1, [898202, 905056]
economy : 2505154889, 78, 2, [898202, 134017]
economy : 5210571860, 137, 1, [134017, 481012]
economy : 4273272866, 129, 2, [793606, 481012]
economy : 4097176026, 142, 3, [809398, 556326]
economy : 6738859658, 64, 1, [898202, 590305]
economy : 6978812650, 58, 1, [664408, 134017]
economy : 4216921145, 192, 1, [793606, 898202]
business : 2078310479, 145, 1, [556326, 905056]
economy : 4531902992, 160, 2, [793606, 481012]
business : 7086233341, 138, 1, [664408, 134017]
economy : 4567642104, 56, 3, [809398, 793606]
economy : 5754995870, 88, 6, [549568, 590305]
economy : 8474274283, 45, 1, [556326, 549568]
economy : 6745152648, 169, 1, [590305, 809398]
business : 6324088783, 122, 2, [898202, 556326]
business : 6751199926, 70, 1, [556326, 898202]
economy : 7146633493, 113, 3, [793606, 590305]
economy : 6474537294, 176, 7, [898202, 134017]
economy : 2380535786, 86, 5, [809398, 905056]
economy : 7636124552, 157, 3, [556326, 481012]
economy : 9355414901, 164, 2, [809398, 556326]
first : 5825745850, 121, 1, [134017, 793606]
economy : 7935827993, 55, 1, [556326, 664408]
economy : 9369892418, 183, 0, [556326, 481012]
business : 9800458906, 141, 6, [793606, 898202]
economy : 8433345176, 164, 9, [793606, 590305]
economy : 2130913483, 164, 5, [134017, 793606]
economy : 3646946226, 88, 2, [793606, 590305]
business : 5369814230, 69, 0, [664408, 905056]
business : 9795003987, 182, 0, [481012, 898202]
economy : 1733387524, 146, 3, [809398, 134017]
economy : 3088785004, 84, 7, [793606, 556326]
economy : 5583404141, 136, 1, [481012, 898202]
economy : 4993090233, 169, 6, [556326, 481012]
economy : 7908046272, 182, 2, [134017, 809398]
economy : 8888700454, 148, 1, [898202, 905056]
economy : 4057733343, 51, 2, [590305, 134017]
business : 7726697011, 137, 9, [664408, 556326]
business : 8008750377, 100, 6, [481012, 809398]
first : 4964453868, 80, 2, [905056, 481012]
economy : 3624248014, 110, 0, [898202, 556326]
economy : 4094494897, 188, 0, [905056, 590305]
economy : 3837698282, 112, 5, [556326, 898202]
economy : 8815774563, 182, 2, [134017, 556326]
business : 6562261860, 184, 5, [898202, 134017]
economy : 5351563907, 186, 1, [664408, 134017]
luxury : 4699027203, 94, 0, [809398, 556326]
economy : 6388284148, 75, 9, [905056, 793606]
economy : 4248390615, 187, 1, [590305, 905056]
luxury : 3476232801, 74, 3, [664408, 793606]
business : 4711552514, 158, 1, [549568, 809398]
economy : 5694175601, 199, 3, [134017, 898202]
economy : 6492202420, 85, 5, [590305, 664408]
luxury : 8077365503, 40, 2, [481012, 134017]
economy : 4670171216, 114, 6, [809398, 549568]
economy : 7445108155, 168, 3, [809398, 664408]
economy : 7491498051, 168, 2, [481012, 590305]
economy : 9096566965, 49, 0, [549568, 664408]
business : 4430378945, 109, 0, [898202, 549568]
business : 8168428428, 63, 0, [481012, 134017]
economy : 1258902051, 76, 1, [549568, 481012]
economy : 6732107735, 115, 7, [481012, 556326]
economy : 3541197384, 110, 2, [556326, 664408]
economy : 3609528235, 121, 2, [898202, 134017]
business : 1113228217, 152, 3, [905056, 664408]
economy : 6667739077, 185, 1, [134017, 898202]
business : 4167351937, 171, 0, [664408, 549568]
business : 7796389247, 150, 2, [590305, 905056]
economy : 2898887419, 146, 5, [134017, 549568]
first : 8957671557, 169, 2, [549568, 793606]
luxury : 7767622453, 189, 3, [134017, 905056]
business : 5272252819, 103, 2, [809398, 134017]
economy : 7865040834, 72, 1, [590305, 905056]
economy : 4816699638, 68, 2, [898202, 549568]
business : 2478615613, 60, 0, [809398, 664408]
economy : 9727375272, 112, 1, [905056, 793606]
economy : 1741784066, 133, 2, [590305, 664408]
first : 3772890380, 62, 3, [809398, 664408]
economy : 1684473856, 48, 2, [793606, 556326]
first : 6018731747, 157, 8, [905056, 793606]
first : 4669563017, 152, 0, [556326, 898202]
economy : 6614852454, 159, 10, [134017, 556326]
economy : 3093790645, 62, 8, [793606, 664408]
economy : 9589372284, 148, 1, [809398, 793606]
economy : 3165061635, 107, 2, [664408, 481012]
luxury : 2771021461, 145, 0, [549568, 134017]
economy : 6574318305, 110, 3, [793606, 664408]
economy : 3057380542, 94, 1, [664408, 556326]
business : 9091002401, 86, 0, [134017, 481012]
business : 1746620853, 186, 3, [664408, 556326]
business : 8570566202, 164, 3, [549568, 556326]
business : 7676644811, 163, 9, [898202, 905056]
economy : 7009476365, 101, 2, [898202, 134017]
economy : 3391172160, 175, 1, [549568, 905056]
business : 7315656979, 155, 2, [905056, 481012]
business : 9761963523, 56, 2, [590305, 905056]
luxury : 7648365493, 194, 3, [556326, 664408]
business : 8976589661, 99, 2, [481012, 590305]
economy : 2943399489, 150, 4, [809398, 664408]
business : 7858230521, 69, 3, [134017, 549568]
economy : 6666631954, 150, 0, [556326, 590305]
business : 2757184981, 90, 1, [556326, 134017]
business : 6568064446, 190, 7, [556326, 549568]
economy : 9983500968, 142, 3, [898202, 549568]
business : 2584418285, 129, 2, [481012, 134017]
business : 7952440445, 75, 2, [664408, 549568]
economy : 7477088841, 81, 0, [549568, 556326]
luxury : 1039705836, 101, 1, [809398, 549568]
business : 1801459442, 110, 2, [590305, 556326]
economy : 9097413881, 125, 2, [809398, 664408]
economy : 2089245360, 52, 3, [590305, 898202]
economy : 4813770772, 153, 2, [898202, 481012]
economy : 5952289112, 133, 6, [664408, 481012]
business : 6827165958, 54, 2, [664408, 134017]
business : 1785445853, 97, 2, [481012, 905056]
economy : 5230599557, 114, 3, [664408, 549568]
business : 3772812979, 74, 0, [556326, 809398]
economy : 5336689126, 100, 1, [549568, 898202]
economy : 8832460340, 82, 0, [905056, 590305]
business : 1955011010, 163, 1, [809398, 549568]
economy : 9411546761, 141, 10, [556326, 549568]
economy : 9327098394, 117, 2, [898202, 664408]
economy : 9090109042, 86, 1, [481012, 793606]
economy : 4370480068, 163, 2, [793606, 898202]
economy : 8380268655, 155, 0, [549568, 793606]
economy : 1844516633, 86, 1, [549568, 134017]
economy : 9274043783, 162, 3, [549568, 556326]
economy : 9214141365, 174, 7, [556326, 664408]
economy : 6171694575, 128, 0, [793606, 549568]
business : 4963494127, 147, 0, [898202, 549568]
economy : 5283104752, 51, 2, [793606, 556326]
economy : 9518945876, 156, 3, [590305, 898202]
first : 5555473086, 45, 0, [481012, 556326]
economy : 6409428434, 155, 2, [549568, 481012]
business : 7450156424, 171, 1, [809398, 556326]
economy : 4221886558, 40, 0, [549568, 556326]
economy : 5006030880, 55, 1, [549568, 809398]
economy : 2503742751, 188, 0, [590305, 905056]
economy : 7302145751, 44, 1, [134017, 898202]
business : 8828592241, 44, 7, [134017, 809398]
economy : 5556277230, 186, 1, [481012, 905056]
economy : 7635087939, 87, 1, [134017, 556326]
economy : 9462992629, 82, 0, [793606, 134017]
business : 6339841305, 135, 6, [590305, 134017]
economy : 8054849933, 183, 4, [793606, 898202]
economy : 1570089855, 113, 3, [793606, 664408]
economy : 2106068144, 80, 3, [590305, 793606]
economy : 9817473729, 99, 1, [549568, 481012]
business : 3008683935, 144, 4, [549568, 590305]
business : 7256436034, 160, 9, [481012, 905056]
economy : 5939645507, 59, 0, [481012, 809398]
economy : 6478196701, 175, 2, [905056, 898202]
economy : 1374680122, 77, 2, [664408, 898202]
economy : 6912458616, 55, 2, [664408, 549568]
business : 5572971786, 64, 2, [905056, 809398]
economy : 7096895892, 115, 1, [556326, 664408]
luxury : 1307540746, 58, 5, [481012, 898202]
economy : 7466491263, 92, 1, [898202, 793606]
business : 4480198403, 68, 2, [898202, 793606]
economy : 5480521904, 43, 0, [590305, 898202]
economy : 2351314126, 55, 0, [809398, 664408]
economy : 4533529762, 117, 1, [481012, 556326]
business : 5629684693, 199, 3, [549568, 664408]
economy : 9288084744, 127, 0, [549568, 793606]
economy : 2847633969, 191, 2, [793606, 905056]
first : 5804766024, 130, 2, [556326, 549568]
business : 5400030920, 160, 1, [793606, 809398]
economy : 2362852880, 47, 2, [481012, 664408]
economy : 9688501322, 144, 1, [664408, 556326]
economy : 5344500658, 152, 4, [549568, 793606]
economy : 8659133583, 190, 5, [556326, 809398]
economy : 5879211426, 98, 0, [664408, 549568]
economy : 4407887121, 83, 2, [898202, 905056]
economy : 5152067364, 160, 3, [905056, 809398]
economy : 8599216623, 49, 2, [898202, 809398]
economy : 8373686154, 82, 1, [556326, 809398]
business : 8969193644, 96, 8, [793606, 549568]
business : 2593256172, 130, 1, [898202, 905056]
economy : 5779726246, 185, 10, [905056, 664408]
economy : 2958891840, 112, 3, [590305, 134017]
economy : 4982723552, 61, 6, [898202, 481012]
economy : 4772538015, 42, 0, [898202, 664408]
business : 7024523621, 156, 0, [590305, 134017]
economy : 5163235132, 97, 4, [905056, 664408]
first : 5087672370, 139, 0, [905056, 590305]
first : 5700798986, 116, 3, [481012, 905056]
economy : 3567593476, 132, 0, [549568, 809398]
first : 5011369004, 177, 2, [793606, 809398]
economy : 6456768998, 52, 1, [481012, 664408]
economy : 4751300842, 187, 1, [905056, 898202]
economy : 7768337057, 98, 4, [134017, 556326]
economy : 1355416700, 41, 4, [481012, 556326]
business : 3307617147, 191, 2, [664408, 481012]
economy : 6382137965, 131, 2, [664408, 793606]
economy : 9221234707, 85, 2, [809398, 549568]
business : 1216298451, 97, 0, [664408, 134017]
luxury : 5239560105, 83, 1, [809398, 898202]
economy : 9533670011, 70, 2, [134017, 905056]
economy : 6787479605, 156, 0, [481012, 664408]
business : 1696908402, 185, 1, [809398, 556326]
economy : 2406880012, 106, 4, [905056, 134017]
economy : 1180766643, 61, 1, [481012, 898202]
luxury : 7333816369, 58, 5, [905056, 809398]
economy : 3191447556, 77, 1, [793606, 664408]
first : 5047448728, 98, 3, [134017, 664408]
economy : 8122244729, 158, 2, [549568, 590305]
business : 6961647502, 154, 2, [664408, 590305]
first : 2483710348, 55, 1, [898202, 809398]
business : 5136911046, 182, 5, [793606, 134017]
economy : 2975037010, 143, 1, [481012, 549568]
economy : 4686632756, 61, 0, [549568, 905056]
business : 3586506594, 186, 0, [793606, 134017]
economy : 4612812667, 46, 0, [556326, 549568]
business : 6584821065, 184, 1, [664408, 549568]
first : 3352661503, 45, 3, [549568, 905056]
economy : 3060722625, 93, 2, [481012, 898202]
economy : 2604980133, 53, 3, [590305, 809398]
business : 4484266537, 156, 1, [809398, 590305]
economy : 3290313958, 166, 3, [664408, 556326]
business : 9334267450, 119, 0, [590305, 793606]
economy : 5777919785, 40, 1, [134017, 898202]
business : 9544885530, 63, 0, [809398, 549568]
economy : 2879421448, 183, 2, [134017, 481012]
economy : 7263132145, 61, 1, [134017, 793606]
business : 9465460065, 67, 2, [481012, 556326]
economy : 5906501259, 70, 1, [809398, 793606]
business : 3865737062, 176, 2, [898202, 549568]
economy : 9146648785, 198, 5, [481012, 905056]
first : 6929600344, 125, 3, [590305, 809398]
economy : 5658879196, 181, 4, [556326, 481012]
business : 6748503069, 131, 1, [556326, 793606]
first : 8499610673, 105, 3, [549568, 590305]
economy : 6472723821, 190, 2, [905056, 481012]
business : 1433082169, 73, 1, [905056, 134017]
economy : 5164125550, 167, 9, [809398, 556326]
economy : 2453181691, 120, 1, [590305, 793606]
economy : 1286022008, 129, 2, [905056, 590305]
economy : 3331075846, 60, 2, [905056, 481012]
economy : 9171503512, 92, 5, [905056, 481012]
business : 8500923435, 131, 5, [134017, 549568]
economy : 5965730626, 108, 3, [809398, 664408]
business : 1237381920, 160, 4, [549568, 481012]
business : 9195281863, 185, 1, [905056, 809398]
economy : 9616206336, 82, 4, [590305, 549568]
business : 3034573440, 191, 10, [809398, 549568]
business : 1752570046, 183, 1, [809398, 549568]
economy : 6336125016, 99, 1, [549568, 590305]
economy : 4243423762, 146, 1, [664408, 898202]
economy : 4952013797, 173, 2, [664408, 481012]
first : 5048070508, 175, 2, [905056, 549568]
economy : 2402778672, 132, 2, [590305, 898202]
economy : 8345759264, 118, 2, [905056, 556326]
economy : 3374520661, 152, 1, [481012, 549568]
economy : 9801537695, 51, 1, [793606, 549568]
economy : 1359256134, 96, 2, [898202, 905056]
economy : 6868516591, 123, 1, [664408, 793606]
economy : 4562808704, 155, 0, [481012, 664408]
business : 9783954360, 55, 1, [664408, 898202]
business : 4973034185, 70, 2, [590305, 134017]
luxury : 8544170593, 194, 0, [809398, 556326]
economy : 9866226569, 81, 1, [809398, 556326]
first : 8722296246, 162, 0, [481012, 549568]
economy : 2241504264, 73, 9, [664408, 134017]
luxury : 6639803070, 53, 7, [134017, 481012]
first : 3147981724, 40, 1, [793606, 809398]
first : 2345648390, 175, 2, [664408, 556326]
economy : 4896543189, 139, 2, [556326, 549568]
business : 5056524662, 97, 5, [556326, 905056]
economy : 8679493533, 54, 0, [134017, 905056]
economy : 6179557859, 97, 0, [590305, 793606]
economy : 9999107990, 166, 4, [809398, 549568]
economy : 5691371783, 162, 9, [134017, 898202]
business : 1379555436, 61, 1, [793606, 898202]
economy : 2229356314, 125, 3, [905056, 556326]
economy : 7904868861, 145, 4, [809398, 898202]
business : 4464770164, 70, 0, [664408, 793606]
business : 1239199155, 133, 0, [793606, 134017]
economy : 9408600013, 78, 0, [549568, 590305]
economy : 9947907823, 42, 2, [898202, 793606]
economy : 4027908100, 193, 1, [590305, 481012]
economy : 6681227031, 138, 2, [134017, 556326]
business : 7206260915, 42, 1, [549568, 481012]
economy : 9672724687, 135, 1, [905056, 134017]
economy : 9140419113, 48, 2, [809398, 898202]
business : 4737148723, 174, 2, [793606, 556326]
economy : 7812237506, 165, 10, [556326, 549568]
economy : 7042321648, 162, 10, [898202, 134017]
economy : 1667830002, 188, 1, [905056, 664408]
first : 6931977695, 178, 7, [664408, 481012]
business : 4832190563, 150, 1, [905056, 481012]
economy : 6153560765, 162, 2, [134017, 793606]
business : 4269207097, 86, 2, [590305, 793606]
economy : 8296851139, 194, 0, [809398, 556326]
economy : 7451132699, 109, 3, [134017, 481012]
business : 9357492062, 124, 1, [898202, 905056]
business : 2780689656, 87, 1, [134017, 905056]
economy : 3103619933, 102, 1, [481012, 898202]
economy : 2314002224, 91, 3, [590305, 549568]
business : 3189265670, 81, 3, [809398, 549568]
economy : 8291683649, 194, 2, [905056, 664408]
economy : 8321009723, 152, 0, [793606, 134017]
business : 3283101728, 115, 1, [549568, 809398]
economy : 2332158522, 143, 3, [905056, 134017]
economy : 8168425124, 151, 2, [134017, 898202]
economy : 5824782473, 99, 2, [556326, 664408]
economy : 8604434923, 142, 1, [481012, 590305]
economy : 3997098071, 182, 5, [809398, 898202]
economy : 7948903673, 174, 1, [793606, 134017]
economy : 3434802289, 188, 2, [905056, 664408]
business : 7577012763, 59, 2, [905056, 556326]
economy : 5615210114, 113, 10, [793606, 590305]
first : 4191167703, 146, 0, [556326, 809398]
business : 1575665513, 130, 2, [664408, 793606]
economy : 2584954230, 117, 1, [793606, 809398]
economy : 4038992199, 73, 1, [134017, 590305]
economy : 5306270406, 108, 2, [898202, 905056]
economy : 5443285462, 191, 2, [549568, 793606]
economy : 4860276253, 167, 10, [481012, 134017]
economy : 1861460483, 198, 2, [664408, 590305]
economy : 7927409844, 78, 1, [556326, 590305]
economy : 4785852359, 78, 6, [481012, 905056]
economy : 9226060567, 146, 2, [556326, 809398]
economy : 9396153658, 151, 3, [556326, 590305]
economy : 9730471440, 69, 0, [905056, 134017]
economy : 6519557977, 84, 0, [590305, 549568]
economy : 5484567609, 144, 1, [556326, 793606]
business : 1674491854, 111, 3, [590305, 481012]
economy : 8601562094, 41, 1, [809398, 905056]
business : 6079869834, 40, 1, [793606, 664408]
economy : 8780028273, 187, 3, [481012, 664408]
business : 5062388952, 134, 1, [556326, 898202]
economy : 4732314660, 146, 1, [549568, 134017]
business : 8733046297, 147, 5, [898202, 556326]
economy : 7023530669, 61, 3, [549568, 793606]
economy : 6434456112, 50, 2, [664408, 556326]
economy : 7819733748, 54, 4, [556326, 905056]
economy : 2163103384, 69, 1, [793606, 664408]
business : 3819822470, 193, 2, [549568, 664408]
economy : 8883677932, 41, 2, [481012, 898202]
business : 9066312711, 58, 2, [590305, 134017]
business : 8394759072, 148, 2, [481012, 556326]
economy : 2035341827, 166, 2, [134017, 664408]
business : 8365382733, 89, 2, [898202, 664408]
economy : 5162255878, 77, 2, [793606, 481012]
luxury : 6133477241, 161, 2, [898202, 556326]
economy : 9212845263, 57, 5, [549568, 664408]
business : 5990506458, 115, 4, [905056, 809398]
economy : 8154121710, 40, 1, [809398, 905056]
economy : 9495732668, 137, 2, [664408, 905056]
economy : 4335189873, 92, 7, [481012, 809398]
first : 5525916198, 43, 3, [793606, 905056]
business : 3267002042, 59, 1, [898202, 549568]
economy : 9900129129, 44, 2, [134017, 809398]
economy : 2725741541, 171, 1, [549568, 809398]
economy : 4008650030, 181, 6, [549568, 664408]
business : 4242130976, 85, 2, [556326, 793606]
business : 6604727590, 133, 0, [549568, 590305]
first : 7912996430, 199, 7, [590305, 549568]
